Date,PM10_BEHALA,PM10_SHYAMBAZAR,PM10_DUNLOP,PM10_MAULALI,PM10_SALTLAKE,PM10_MINTOPARK,PM10_ULTODANGA,PM10_BAISHNABGHATA,PM10_TOLLYGAUNGE,PM10_PICNICGARDEN,PM10_BELIAGHATA,PM10_MOMINPORE,PM10_TOPSIA,PM10_HYDEROAD,PM10_GARIAHAT,PM10_PARIBESHBHAWAN,PM10_RAJBHAWAN,PM10_RAJARHAT
"Monthly average January, 2005",224.1,238.7,238.1,242,179.6,203.2,223.2,146,202.3,214.5,195.7,200.8,231.3,189.3,211.5,146,171.8,171.8
"Monthly average February, 2005",212.4,216.6,223.7,236.6,182.1,196,210.2,157.1,201.1,185.3,190.2,193.7,223,205.6,211.7,125.6,104.7,104.7
"Monthly average March, 2005",140.6,175.4,150.9,159.7,130,140.8,154.9,108.3,133.1,117.6,155.4,133.6,157.3,141.5,155,57,55.1,55.1
"Monthly average April, 2005",82.5,89.6,99.9,91,71.7,77.6,91,59.4,70.7,82.8,70.4,72.6,97,88.8,78.7,53.7,39.8,39.8
"Monthly average May, 2005",58.1,81.2,81.2,69.5,48.3,60.3,73.8,46.3,67.2,57.5,56.2,64.5,76,67.2,67.2,46.9,35.6,35.6
"Monthly average June, 2005",57.4,69.1,71.4,63.2,48.9,56.4,68.3,45.4,48.5,52.6,54.4,61.1,70,62.1,61.6,30,31.5,31.5
"Monthly average July, 2005",48.1,57.8,58.8,55.7,40.2,46.6,60,39.4,40.9,47.8,41.8,52.7,58.1,52.8,51.1,39,30.5,30.5
"Monthly average August, 2005",51.3,62,62.8,59.1,44,45.7,61,37.9,44.5,49.5,45.7,52.5,62.8,56,53.5,44.8,35.8,35.8
"Monthly average September, 2005",44.8,59.1,61.6,56.7,38.2,47,60.2,39.3,41.2,48.3,44.4,53.1,48.7,53.3,51.6,34.2,35.7,35.7
"Monthly average October, 2005",52.1,63.7,62.9,61.9,45.6,47.9,58.5,40.6,44.5,53,50.3,54.7,54.9,53,59.7,76.7,31.7,31.7
"Monthly average November, 2005",129.2,140.3,137.5,144.4,103.7,114.3,145.6,92.8,101.3,114.5,108.2,129.7,140.5,120.7,123.4,209.1,131.2,131.2
"Monthly average December, 2005",204.8,253.4,230.3,226.7,177.8,193,224.6,153.3,173.2,203.2,192.7,211.2,229.2,214.4,216.1,184.3,175.7,175.7
"Monthly average January, 2006",177.8,237,247.9,212.8,155.6,179.4,222.7,153.2,192.6,220.2,193.3,209.4,194.7,218.6,217.6,260.6,217.3,217.3
"Monthly average February, 2006",159.6,174.1,187,185.2,130.7,133.1,163.3,107.7,143,167.7,140.4,152.1,177.9,163.6,156.7,178.4,225.3,225.3
"Monthly average March, 2006",120.8,152.5,157.4,147.4,102.1,105,137.2,92.8,108.5,126.7,115.3,127.3,133.1,127.5,131.9,129,100.3,100.3
"Monthly average April, 2006",82.1,80,70.4,55.2,57,43,58.9,50.1,61.1,54.7,58,51.2,96,66.5,49.8,63.6,46.1,46.1
"Monthly average May, 2006",79.8,67.1,50.4,49.4,43.3,30,45.3,42.1,55.4,34.3,35.6,41.2,86.6,43,45.6,44.4,35.1,35.1
"Monthly average June, 2006",59,53.7,51,41.9,29.9,26.8,34.6,34.5,88.2,36,35.8,37.4,74.2,41,38.3,47,49,49
"Monthly average July, 2006",42.4,45.8,42.4,42.6,27,21.9,32.1,20.1,82.3,38,29.1,39.5,55.7,36.7,32.8,47.7,36,36
"Monthly average August, 2006",42.9,43.8,39.5,29.2,23.1,23.3,32.8,24.2,40,37.8,35.5,25.8,39.8,35.3,33.7,27.1,34.7,34.7
"Monthly average September, 2006",45.7,46.9,50,35.4,24.5,17.9,37.3,21.8,53.6,50.2,39.9,23.9,30.3,41.8,27.9,29.2,32.6,32.6
"Monthly average October, 2006",100,78.6,112.2,101.4,72.8,39.4,99.5,87.3,123.8,114,95.7,96.5,66,101.9,56,97.6,139.7,139.7
"Monthly average November, 2006",147.8,133.5,168.2,138.9,124,69.5,136.4,127.7,168.1,146.9,157.1,126.9,107.2,144.7,93.3,143.4,113.2,113.2
"Monthly average December, 2006",269.2,228.4,246.4,235.7,209.9,99.1,214.8,202.1,231.3,236.2,247,212.7,163.3,211,124,162.9,163.6,163.6
"Monthly average January, 2007",251.7,230.6,246,266.7,231.6,176.4,241.9,251.7,214.8,217.1,268.2,231.7,172.7,224.5,161.1,218.8,198.6,198.6
"Monthly average February, 2007",151.1,129.7,122.1,138.6,129.9,92.1,122,151.1,108.1,92.8,133.1,115.2,94.3,112.9,73.4,119.4,117.9,117.9
"Monthly average March, 2007",107,111.6,121.9,117.8,88,70.7,104.8,107,85.5,89,89.8,89.1,75.3,98.3,71.1,104.3,89.2,89.2
"Monthly average April, 2007",61,49.2,51.7,47.5,57.4,35.8,43.4,61,55.7,33.3,51,34.3,54.1,38.4,34.9,68.1,43.9,43.9
"Monthly average May, 2007",58.5,51.6,56.4,46.1,32.4,41.9,44.1,58.5,53.3,40.5,49.4,46.2,49.9,47.7,45,63.9,57.5,57.5
"Monthly average June, 2007",46.9,33.7,36.8,31.1,26.4,28.3,32.2,46.9,31.3,29.4,33.6,28.9,34.5,29.5,25.4,40.5,38.4,38.4
"Monthly average July, 2007",44,36.5,37.9,33.9,27,33,32.7,44,26.5,29.6,36.6,31.3,36,30.5,23.1,60,62.6,62.6
"Monthly average August, 2007",41.2,39.7,36.5,39,31.8,32.3,32.6,41.2,28.3,27,30.1,28.9,36.8,33.2,23.2,30.3,47.7,47.7
"Monthly average September, 2007",49.1,32.1,36.8,54.6,29.4,25.2,37.7,49.1,30.9,25.9,36.7,38.3,35.6,30.3,22,40.7,61.3,61.3
"Monthly average October, 2007",91.3,58.2,84.9,81.8,60.5,55.3,57.3,91.3,85.6,82.9,84.9,65.9,62,79,44.7,91.3,78,78
"Monthly average November, 2007",138.7,113.4,109.5,112.6,96,85.3,94.3,138.7,141.7,132,157.3,128,94.6,131.3,75,83.5,150.4,150.4
"Monthly average December, 2007",217,223.7,180.1,197.8,169.3,152.8,170.3,217,224.6,210,221.8,212.6,166.8,215.6,167,169.4,205.3,205.3
"Monthly average January, 2008",223.4,194.7,166.4,223.4,194.5,145.1,161.1,153.8,177.1,154.4,206.3,178.3,161.5,171.1,164.2,143.8,210.9,210.9
"Monthly average February, 2008",134.3,148.4,158.5,134.3,134.3,109.1,112.9,128.9,140.3,161.8,124.3,150.6,102.2,157,127.8,159.1,106.4,106.4
"Monthly average March, 2008",80.5,93.4,99.2,80.5,83.3,72.2,81.3,58.8,74.3,28,62.5,69.5,65.3,89.5,77.7,91.4,68.4,68.4
"Monthly average April, 2008",68.5,56.4,53.4,68.5,60.2,49.3,61.3,46.3,43.1,41.4,48.2,52.4,52.3,49.6,49.9,100.4,47,47
"Monthly average May, 2008",63.3,45.5,54,63.3,47.2,33.2,43.4,34.1,34.6,38.5,43.3,46.1,49.4,48.6,34.2,52,44.1,44.1
"Monthly average June, 2008",54.4,52,40.6,54.4,42.3,37.5,40,27.4,32.1,31.6,33.8,38,30.9,40.7,38.4,55.6,40.7,40.7
"Monthly average July, 2008",57.2,42.4,29.8,57.2,41.3,31.9,32.4,28.1,27.3,27.4,40.9,30.1,38.8,33.4,39.6,48.3,43,43
"Monthly average August, 2008",45.8,38.6,33.3,45.8,28.8,29.9,24.9,20.8,28,26.4,28.7,28.3,27.2,33.7,29.9,47.2,29.4,29.4
"Monthly average September, 2008",55.9,48,52,55.9,30.6,33.3,28.3,27.9,47.8,45.1,40.7,37.5,29.4,55.7,33.6,35.9,34.4,34.4
"Monthly average October, 2008",84.4,78.5,117.6,84.4,51.4,57.1,55.5,79.9,108.6,102.9,80.8,79.3,60.9,113.6,61.7,106.1,77.3,77.3
"Monthly average November, 2008",148.7,137.2,127.3,148.7,102.6,104.9,101,126,116.6,127,139.7,136.6,96.3,127.8,111.9,144.7,102.3,102.3
